"","towns","lon","lat"
"1","Albany, New York",-73.7562317,42.6525793
"2","Alexandria, Virginia",-77.0469214,38.8048355
"3","Annapolis, Maryland",-76.4921829,38.9784453
"4","Baltimore, Maryland",-76.6121893,39.2903848
"5","Boston, Massachusetts",-71.0588801,42.3600825
"6","Camden, South Carolina",-80.6070237,34.2465393
"7","Charleston City, South Carolina",-79.9310512,32.7764749
"8","Charleston, South Carolina",-79.9310512,32.7764749
"9","Elizabeth City, North Carolina",-76.2510461,36.2946008
"10","Frederick, Maryland",-77.4105409,39.4142688
"11","Georgetown, South Carolina",-79.2944964,33.376834
"12","Harrisburgh, Pennsylvania",-76.8867008,40.2731911
"13","Hudson, New York",-73.790959,42.2528649
"14","Lancaster, Pennsylvania",-76.3055144,40.0378755
"15","Meadville, Pennsylvania",-80.1514484,41.6414438
"16","Middlebury, Vermont",-73.16734,44.0153371
"17","Murfreesboro, Tennessee",-86.39027,35.8456213
"18","Nashville, Tennessee",-86.7816016,36.1626638
"19","Natchez, Mississippi",-91.403171,31.5604442
"20","New Orleans, Louisiana",-90.0715323,29.9510658
"21","New York City, New York",-74.0059413,40.7127837
"22","New York, New York",-74.0059413,40.7127837
"23","Newhaven, Vermont",-73.1535713,44.1243277
"24","Pensacola, Florida",-87.2169149,30.421309
"25","Petersburg, Virginia",-77.4019267,37.2279279
"26","Philadelphia, Pennsylvania",-75.1652215,39.9525839
"27","Philadephia, Pennsylvania",-75.1652215,39.9525839
"28","Pittsburgh, Pennsylvania",-79.9958864,40.4406248
"29","Richmond City, Virginia",-77.4360481,37.5407246
"30","Richmond, Virginia",-77.4360481,37.5407246
"31","Saint Louis, Missouri",-90.1994042,38.6270025
"32","Savannah, Georgia",-81.0998342,32.0835407
"33","Schenctady, New York",-73.9395687,42.8142432
"34","Schenectady, New York",-73.9395687,42.8142432
"35","Vergennes, Vermont",-73.2540111,44.1672771
"36","Williamsburg, Virginia",-76.7074571,37.2707022
